trace_idx,trace,mas_name,trace_id,model,mode,baseline_verdict,result_type,steps
11,AppWorld_tid11,AppWorld,11,gemini-2.5-pro,2.5,0,none,
11,AppWorld_tid11,AppWorld,11,gemini-2.5-pro,2.6,0,none,
11,AppWorld_tid11,AppWorld,11,gemini-2.5-pro,3.1,0,none,
11,AppWorld_tid11,AppWorld,11,gemini-2.5-pro,3.2,0,none,
11,AppWorld_tid11,AppWorld,11,gemini-2.5-pro,3.3,0,none,
12,AG2_tid12,AG2,12,gemini-2.5-flash,1.1,1,global,global
12,AG2_tid12,AG2,12,gemini-2.5-flash,1.2,0,none,
12,AG2_tid12,AG2,12,gemini-2.5-flash,1.3,0,none,
12,AG2_tid12,AG2,12,gemini-2.5-flash,1.4,0,none,
12,AG2_tid12,AG2,12,gemini-2.5-flash,1.5,0,none,
12,AG2_tid12,AG2,12,gemini-2.5-flash,2.1,0,none,
12,AG2_tid12,AG2,12,gemini-2.5-flash,2.2,0,none,
12,AG2_tid12,AG2,12,gemini-2.5-flash,2.3,0,none,
12,AG2_tid12,AG2,12,gemini-2.5-flash,2.4,0,none,
12,AG2_tid12,AG2,12,gemini-2.5-flash,2.5,0,none,
12,AG2_tid12,AG2,12,gemini-2.5-flash,2.6,1,steps,1
12,AG2_tid12,AG2,12,gemini-2.5-flash,3.1,0,none,
12,AG2_tid12,AG2,12,gemini-2.5-flash,3.2,0,none,
12,AG2_tid12,AG2,12,gemini-2.5-flash,3.3,0,none,
12,AG2_tid12,AG2,12,gemini-2.5-pro,1.1,1,global,global
12,AG2_tid12,AG2,12,gemini-2.5-pro,1.2,0,none,
12,AG2_tid12,AG2,12,gemini-2.5-pro,1.3,0,none,
12,AG2_tid12,AG2,12,gemini-2.5-pro,1.4,0,none,
12,AG2_tid12,AG2,12,gemini-2.5-pro,1.5,0,none,
12,AG2_tid12,AG2,12,gemini-2.5-pro,2.1,0,none,
12,AG2_tid12,AG2,12,gemini-2.5-pro,2.2,1,steps,1
12,AG2_tid12,AG2,12,gemini-2.5-pro,2.3,0,none,
12,AG2_tid12,AG2,12,gemini-2.5-pro,2.4,0,none,
12,AG2_tid12,AG2,12,gemini-2.5-pro,2.5,0,none,
12,AG2_tid12,AG2,12,gemini-2.5-pro,2.6,1,steps,1
12,AG2_tid12,AG2,12,gemini-2.5-pro,3.1,0,none,
12,AG2_tid12,AG2,12,gemini-2.5-pro,3.2,0,none,
12,AG2_tid12,AG2,12,gemini-2.5-pro,3.3,0,none,
13,ChatDev_tid13,ChatDev,13,gemini-2.5-flash,1.1,1,global,global
13,ChatDev_tid13,ChatDev,13,gemini-2.5-flash,1.2,0,none,
13,ChatDev_tid13,ChatDev,13,gemini-2.5-flash,1.3,0,none,
13,ChatDev_tid13,ChatDev,13,gemini-2.5-flash,1.4,0,none,
13,ChatDev_tid13,ChatDev,13,gemini-2.5-flash,1.5,0,none,
13,ChatDev_tid13,ChatDev,13,gemini-2.5-flash,2.1,0,none,
13,ChatDev_tid13,ChatDev,13,gemini-2.5-flash,2.2,0,none,
13,ChatDev_tid13,ChatDev,13,gemini-2.5-flash,2.3,0,none,
13,ChatDev_tid13,ChatDev,13,gemini-2.5-flash,2.4,0,none,
13,ChatDev_tid13,ChatDev,13,gemini-2.5-flash,2.5,0,none,
13,ChatDev_tid13,ChatDev,13,gemini-2.5-flash,2.6,0,none,
13,ChatDev_tid13,ChatDev,13,gemini-2.5-flash,3.1,0,none,
13,ChatDev_tid13,ChatDev,13,gemini-2.5-flash,3.2,1,steps,"0,1,2,3,7,11,13"
13,ChatDev_tid13,ChatDev,13,gemini-2.5-flash,3.3,0,none,
13,ChatDev_tid13,ChatDev,13,gemini-2.5-pro,1.1,1,global,global
13,ChatDev_tid13,ChatDev,13,gemini-2.5-pro,1.2,0,none,
13,ChatDev_tid13,ChatDev,13,gemini-2.5-pro,1.3,0,none,
13,ChatDev_tid13,ChatDev,13,gemini-2.5-pro,1.4,0,none,
13,ChatDev_tid13,ChatDev,13,gemini-2.5-pro,1.5,0,none,
13,ChatDev_tid13,ChatDev,13,gemini-2.5-pro,2.1,0,none,
13,ChatDev_tid13,ChatDev,13,gemini-2.5-pro,2.2,0,none,
13,ChatDev_tid13,ChatDev,13,gemini-2.5-pro,2.3,0,none,
13,ChatDev_tid13,ChatDev,13,gemini-2.5-pro,2.4,0,none,
13,ChatDev_tid13,ChatDev,13,gemini-2.5-pro,2.5,0,none,
13,ChatDev_tid13,ChatDev,13,gemini-2.5-pro,2.6,1,steps,14
13,ChatDev_tid13,ChatDev,13,gemini-2.5-pro,3.1,0,none,
13,ChatDev_tid13,ChatDev,13,gemini-2.5-pro,3.2,0,none,
13,ChatDev_tid13,ChatDev,13,gemini-2.5-pro,3.3,1,steps,"41,48"
14,MetaGPT_tid14,MetaGPT,14,gemini-2.5-flash,1.1,1,global,global
14,MetaGPT_tid14,MetaGPT,14,gemini-2.5-flash,1.2,0,none,
14,MetaGPT_tid14,MetaGPT,14,gemini-2.5-flash,1.3,1,steps,5
14,MetaGPT_tid14,MetaGPT,14,gemini-2.5-flash,1.4,0,none,
14,MetaGPT_tid14,MetaGPT,14,gemini-2.5-flash,1.5,0,none,
14,MetaGPT_tid14,MetaGPT,14,gemini-2.5-flash,2.1,0,none,
14,MetaGPT_tid14,MetaGPT,14,gemini-2.5-flash,2.2,1,steps,"1,2,4"
14,MetaGPT_tid14,MetaGPT,14,gemini-2.5-flash,2.3,0,none,
14,MetaGPT_tid14,MetaGPT,14,gemini-2.5-flash,2.4,1,steps,"2,4"
14,MetaGPT_tid14,MetaGPT,14,gemini-2.5-flash,2.5,0,none,
14,MetaGPT_tid14,MetaGPT,14,gemini-2.5-flash,2.6,1,steps,4
14,MetaGPT_tid14,MetaGPT,14,gemini-2.5-flash,3.1,0,none,
14,MetaGPT_tid14,MetaGPT,14,gemini-2.5-flash,3.2,0,none,
14,MetaGPT_tid14,MetaGPT,14,gemini-2.5-flash,3.3,1,steps,"2,4"
14,MetaGPT_tid14,MetaGPT,14,gemini-2.5-pro,1.1,0,none,
14,MetaGPT_tid14,MetaGPT,14,gemini-2.5-pro,1.2,0,none,
14,MetaGPT_tid14,MetaGPT,14,gemini-2.5-pro,1.3,1,steps,5
14,MetaGPT_tid14,MetaGPT,14,gemini-2.5-pro,1.4,0,none,
14,MetaGPT_tid14,MetaGPT,14,gemini-2.5-pro,1.5,1,global,global
14,MetaGPT_tid14,MetaGPT,14,gemini-2.5-pro,2.1,0,none,
14,MetaGPT_tid14,MetaGPT,14,gemini-2.5-pro,2.2,0,none,
14,MetaGPT_tid14,MetaGPT,14,gemini-2.5-pro,2.3,0,none,
14,MetaGPT_tid14,MetaGPT,14,gemini-2.5-pro,2.4,0,none,
14,MetaGPT_tid14,MetaGPT,14,gemini-2.5-pro,2.5,0,none,
14,MetaGPT_tid14,MetaGPT,14,gemini-2.5-pro,2.6,0,none,
14,MetaGPT_tid14,MetaGPT,14,gemini-2.5-pro,3.1,0,none,
14,MetaGPT_tid14,MetaGPT,14,gemini-2.5-pro,3.2,0,none,
14,MetaGPT_tid14,MetaGPT,14,gemini-2.5-pro,3.3,0,none,
15,ChatDev_tid15,ChatDev,15,gemini-2.5-flash,1.1,1,global,global
15,ChatDev_tid15,ChatDev,15,gemini-2.5-flash,1.2,0,none,
15,ChatDev_tid15,ChatDev,15,gemini-2.5-flash,1.3,0,none,
15,ChatDev_tid15,ChatDev,15,gemini-2.5-flash,1.4,0,none,
15,ChatDev_tid15,ChatDev,15,gemini-2.5-flash,1.5,0,none,
15,ChatDev_tid15,ChatDev,15,gemini-2.5-flash,2.1,0,none,
15,ChatDev_tid15,ChatDev,15,gemini-2.5-flash,2.2,0,none,
15,ChatDev_tid15,ChatDev,15,gemini-2.5-flash,2.3,1,steps,"11,13,14"
15,ChatDev_tid15,ChatDev,15,gemini-2.5-flash,2.4,0,none,
15,ChatDev_tid15,ChatDev,15,gemini-2.5-flash,2.5,0,none,
15,ChatDev_tid15,ChatDev,15,gemini-2.5-flash,2.6,1,steps,"13,14"
15,ChatDev_tid15,ChatDev,15,gemini-2.5-flash,3.1,0,none,
15,ChatDev_tid15,ChatDev,15,gemini-2.5-flash,3.2,0,none,
15,ChatDev_tid15,ChatDev,15,gemini-2.5-flash,3.3,1,steps,"11,13"
15,ChatDev_tid15,ChatDev,15,gemini-2.5-pro,1.1,1,global,global
15,ChatDev_tid15,ChatDev,15,gemini-2.5-pro,1.2,0,none,
15,ChatDev_tid15,ChatDev,15,gemini-2.5-pro,1.3,1,steps,"35,40,44,55"
15,ChatDev_tid15,ChatDev,15,gemini-2.5-pro,1.4,0,none,
15,ChatDev_tid15,ChatDev,15,gemini-2.5-pro,1.5,0,none,
15,ChatDev_tid15,ChatDev,15,gemini-2.5-pro,2.1,0,none,
15,ChatDev_tid15,ChatDev,15,gemini-2.5-pro,2.2,0,none,
15,ChatDev_tid15,ChatDev,15,gemini-2.5-pro,2.3,1,steps,"11,13,14,51"
15,ChatDev_tid15,ChatDev,15,gemini-2.5-pro,2.4,0,none,
15,ChatDev_tid15,ChatDev,15,gemini-2.5-pro,2.5,0,none,
15,ChatDev_tid15,ChatDev,15,gemini-2.5-pro,2.6,1,steps,"13,14,51"
15,ChatDev_tid15,ChatDev,15,gemini-2.5-pro,3.1,0,none,
15,ChatDev_tid15,ChatDev,15,gemini-2.5-pro,3.2,0,none,
15,ChatDev_tid15,ChatDev,15,gemini-2.5-pro,3.3,1,steps,"51,55,60"
16,MetaGPT_tid16,MetaGPT,16,gemini-2.5-flash,1.1,1,global,global
16,MetaGPT_tid16,MetaGPT,16,gemini-2.5-flash,1.2,1,steps,"3,5"
16,MetaGPT_tid16,MetaGPT,16,gemini-2.5-flash,1.3,1,steps,4
16,MetaGPT_tid16,MetaGPT,16,gemini-2.5-flash,1.4,0,none,
16,MetaGPT_tid16,MetaGPT,16,gemini-2.5-flash,1.5,1,global,global
16,MetaGPT_tid16,MetaGPT,16,gemini-2.5-flash,2.1,0,none,
16,MetaGPT_tid16,MetaGPT,16,gemini-2.5-flash,2.2,1,steps,1
16,MetaGPT_tid16,MetaGPT,16,gemini-2.5-flash,2.3,1,steps,"3,5"
16,MetaGPT_tid16,MetaGPT,16,gemini-2.5-flash,2.4,0,none,
16,MetaGPT_tid16,MetaGPT,16,gemini-2.5-flash,2.5,0,none,
16,MetaGPT_tid16,MetaGPT,16,gemini-2.5-flash,2.6,1,steps,"2,4"
16,MetaGPT_tid16,MetaGPT,16,gemini-2.5-flash,3.1,0,none,
16,MetaGPT_tid16,MetaGPT,16,gemini-2.5-flash,3.2,0,none,
16,MetaGPT_tid16,MetaGPT,16,gemini-2.5-flash,3.3,1,steps,"2,4"
16,MetaGPT_tid16,MetaGPT,16,gemini-2.5-pro,1.1,0,none,
16,MetaGPT_tid16,MetaGPT,16,gemini-2.5-pro,1.2,0,none,
16,MetaGPT_tid16,MetaGPT,16,gemini-2.5-pro,1.3,1,steps,"3,5"
16,MetaGPT_tid16,MetaGPT,16,gemini-2.5-pro,1.4,0,none,
16,MetaGPT_tid16,MetaGPT,16,gemini-2.5-pro,1.5,1,global,global
16,MetaGPT_tid16,MetaGPT,16,gemini-2.5-pro,2.1,0,none,
16,MetaGPT_tid16,MetaGPT,16,gemini-2.5-pro,2.2,0,none,
16,MetaGPT_tid16,MetaGPT,16,gemini-2.5-pro,2.3,0,none,
16,MetaGPT_tid16,MetaGPT,16,gemini-2.5-pro,2.4,0,none,
16,MetaGPT_tid16,MetaGPT,16,gemini-2.5-pro,2.5,0,none,
16,MetaGPT_tid16,MetaGPT,16,gemini-2.5-pro,2.6,0,none,
16,MetaGPT_tid16,MetaGPT,16,gemini-2.5-pro,3.1,1,global,global
16,MetaGPT_tid16,MetaGPT,16,gemini-2.5-pro,3.2,0,none,
16,MetaGPT_tid16,MetaGPT,16,gemini-2.5-pro,3.3,1,steps,"1,2,3,5"
17,GAIA_tid17,GAIA,17,gemini-2.5-flash,1.1,0,none,
17,GAIA_tid17,GAIA,17,gemini-2.5-flash,1.2,0,none,
17,GAIA_tid17,GAIA,17,gemini-2.5-flash,1.3,0,none,
17,GAIA_tid17,GAIA,17,gemini-2.5-flash,1.4,0,none,
17,GAIA_tid17,GAIA,17,gemini-2.5-flash,1.5,0,none,
17,GAIA_tid17,GAIA,17,gemini-2.5-flash,2.1,0,none,
17,GAIA_tid17,GAIA,17,gemini-2.5-flash,2.2,0,none,
17,GAIA_tid17,GAIA,17,gemini-2.5-flash,2.3,0,none,
17,GAIA_tid17,GAIA,17,gemini-2.5-flash,2.4,0,none,
17,GAIA_tid17,GAIA,17,gemini-2.5-flash,2.5,0,none,
17,GAIA_tid17,GAIA,17,gemini-2.5-flash,2.6,0,none,
17,GAIA_tid17,GAIA,17,gemini-2.5-flash,3.1,0,none,
17,GAIA_tid17,GAIA,17,gemini-2.5-flash,3.2,0,none,
17,GAIA_tid17,GAIA,17,gemini-2.5-flash,3.3,1,steps,6
17,GAIA_tid17,GAIA,17,gemini-2.5-pro,1.1,0,none,
17,GAIA_tid17,GAIA,17,gemini-2.5-pro,1.2,0,none,
17,GAIA_tid17,GAIA,17,gemini-2.5-pro,1.3,1,steps,"2,4"
17,GAIA_tid17,GAIA,17,gemini-2.5-pro,1.4,0,none,
17,GAIA_tid17,GAIA,17,gemini-2.5-pro,1.5,0,none,
17,GAIA_tid17,GAIA,17,gemini-2.5-pro,2.1,0,none,
17,GAIA_tid17,GAIA,17,gemini-2.5-pro,2.2,0,none,
17,GAIA_tid17,GAIA,17,gemini-2.5-pro,2.3,0,none,
17,GAIA_tid17,GAIA,17,gemini-2.5-pro,2.4,0,none,
17,GAIA_tid17,GAIA,17,gemini-2.5-pro,2.5,0,none,
17,GAIA_tid17,GAIA,17,gemini-2.5-pro,2.6,0,none,
17,GAIA_tid17,GAIA,17,gemini-2.5-pro,3.1,0,none,
17,GAIA_tid17,GAIA,17,gemini-2.5-pro,3.2,0,none,
17,GAIA_tid17,GAIA,17,gemini-2.5-pro,3.3,0,none,
18,GAIA_tid18,GAIA,18,gemini-2.5-flash,1.1,0,none,
18,GAIA_tid18,GAIA,18,gemini-2.5-flash,1.2,0,none,
18,GAIA_tid18,GAIA,18,gemini-2.5-flash,1.3,1,steps,"27,29,31,33,35"
18,GAIA_tid18,GAIA,18,gemini-2.5-flash,1.4,1,steps,"27,29,31,33,35"
18,GAIA_tid18,GAIA,18,gemini-2.5-flash,1.5,1,global,global
18,GAIA_tid18,GAIA,18,gemini-2.5-flash,2.1,1,steps,24
18,GAIA_tid18,GAIA,18,gemini-2.5-flash,2.2,0,none,
18,GAIA_tid18,GAIA,18,gemini-2.5-flash,2.3,0,none,
18,GAIA_tid18,GAIA,18,gemini-2.5-flash,2.4,0,none,
18,GAIA_tid18,GAIA,18,gemini-2.5-flash,2.5,0,none,
18,GAIA_tid18,GAIA,18,gemini-2.5-flash,2.6,0,none,
18,GAIA_tid18,GAIA,18,gemini-2.5-flash,3.1,1,global,global
18,GAIA_tid18,GAIA,18,gemini-2.5-flash,3.2,0,none,
18,GAIA_tid18,GAIA,18,gemini-2.5-flash,3.3,0,none,
18,GAIA_tid18,GAIA,18,gemini-2.5-pro,1.1,0,none,
18,GAIA_tid18,GAIA,18,gemini-2.5-pro,1.2,0,none,
18,GAIA_tid18,GAIA,18,gemini-2.5-pro,1.3,1,steps,"16,18,20,25,29,31,33,35,37,39,41"
18,GAIA_tid18,GAIA,18,gemini-2.5-pro,1.4,1,steps,"24,43"
18,GAIA_tid18,GAIA,18,gemini-2.5-pro,1.5,1,global,global
18,GAIA_tid18,GAIA,18,gemini-2.5-pro,2.1,0,none,
18,GAIA_tid18,GAIA,18,gemini-2.5-pro,2.2,0,none,
18,GAIA_tid18,GAIA,18,gemini-2.5-pro,2.3,0,none,
18,GAIA_tid18,GAIA,18,gemini-2.5-pro,2.4,0,none,
18,GAIA_tid18,GAIA,18,gemini-2.5-pro,2.5,0,none,
18,GAIA_tid18,GAIA,18,gemini-2.5-pro,2.6,1,steps,"25,37,39,41"
18,GAIA_tid18,GAIA,18,gemini-2.5-pro,3.1,0,none,
18,GAIA_tid18,GAIA,18,gemini-2.5-pro,3.2,0,none,
18,GAIA_tid18,GAIA,18,gemini-2.5-pro,3.3,0,none,
